M	The	DET	DT	det	city	NOUN	NN	poss	False	False	False		Xx		city	False	False		NOUN		NN		poss	True	news4
C	city	NOUN	NN	poss	Department	PROPN	NNP	nsubj	False	True	True		xx	The	’s	False	False	DET	PART	DT	POS	det	case	True	news4
B	’s	PART	POS	case	city	NOUN	NN	poss	False	False	False		’x	city	Law	False	False	NOUN	PROPN	NN	NNP	poss	compound	True	news4
C	Law	PROPN	NNP	compound	Department	PROPN	NNP	nsubj	False	False	False	ORG	Xx	’s	Department	False	False	PART	PROPN	POS	NNP	case	nsubj	True	news4
C	Department	PROPN	NNP	nsubj	said	VERB	VBD	ROOT	False	True	False	ORG	Xx	Law	said	False	False	PROPN	VERB	NNP	VBD	compound	ROOT	True	news4
P	said	VERB	VBD	ROOT	said	VERB	VBD	ROOT	False	True	True		xx	Department	it	False	False	PROPN	PRON	NNP	PRP	nsubj	nsubj	True	news4
C	it	PRON	PRP	nsubj	review	VERB	VB	ccomp	False	False	False		xx	said	will	False	False	VERB	VERB	VBD	MD	ROOT	aux	True	news4
M	will	VERB	MD	aux	review	VERB	VB	ccomp	False	False	False		xx	it	review	False	False	PRON	VERB	PRP	VB	nsubj	ccomp	True	news4
P	review	VERB	VB	ccomp	said	VERB	VBD	ROOT	False	True	True		xx	will	the	False	False	VERB	DET	MD	DT	aux	det	True	news4
M	the	DET	DT	det	allegations	NOUN	NNS	dobj	False	False	False		xx	review	allegations	False	False	VERB	NOUN	VB	NNS	ccomp	dobj	True	news4
C	allegations	NOUN	NNS	dobj	review	VERB	VB	ccomp	False	True	True		xx	the	in	False	False	DET	ADP	DT	IN	det	prep	True	news4
B	in	ADP	IN	prep	allegations	NOUN	NNS	dobj	False	False	True		xx	allegations	the	False	False	NOUN	DET	NNS	DT	dobj	det	True	news4
M	the	DET	DT	det	complaint	NOUN	NN	pobj	False	False	False		xx	in	complaint	False	False	ADP	NOUN	IN	NN	prep	pobj	True	news4
C	complaint	NOUN	NN	pobj	in	ADP	IN	prep	False	True	False		xx	the	and	False	False	DET	CCONJ	DT	CC	det	cc	True	news4
J	and	CCONJ	CC	cc	review	VERB	VB	ccomp	False	False	False		xx	complaint	respond	False	False	NOUN	VERB	NN	VB	pobj	conj	True	news4
P	respond	VERB	VB	conj	review	VERB	VB	ccomp	False	False	True		xx	and	in	False	False	CCONJ	ADP	CC	IN	cc	prep	True	news4
T	in	ADP	IN	prep	respond	VERB	VB	conj	False	False	True		xx	respond	court	False	False	VERB	NOUN	VB	NN	conj	pobj	True	news4
C	court	NOUN	NN	pobj	in	ADP	IN	prep	False	False	False		xx	in	.	False	True	ADP	PUNCT	IN	.	prep	punct	True	news4
X	.	PUNCT	.	punct	said	VERB	VBD	ROOT	False	False	False		.	court		False	False	NOUN		NN		pobj		True	news4
M	One	NUM	CD	nummod	difficulty	NOUN	NN	nsubj	False	False	False	CARDINAL	Xx		difficulty	False	False		NOUN		NN		nsubj	True	science3
C	difficulty	NOUN	NN	nsubj	is	AUX	VBZ	ccomp	False	True	True		xx	One	in	False	False	NUM	ADP	CD	IN	nummod	prep	True	science3
B	in	ADP	IN	prep	difficulty	NOUN	NN	nsubj	False	False	True		xx	difficulty	modeling	False	False	NOUN	VERB	NN	VBG	nsubj	pcomp	True	science3
P	modeling	VERB	VBG	pcomp	in	ADP	IN	prep	False	False	True		xx	in	the	False	False	ADP	DET	IN	DT	prep	det	True	science3
M	the	DET	DT	det	reactions	NOUN	NNS	dobj	False	False	False		xx	modeling	biological	False	False	VERB	ADJ	VBG	JJ	pcomp	amod	True	science3
M	biological	ADJ	JJ	amod	reactions	NOUN	NNS	dobj	False	False	False		xx	the	reactions	False	False	DET	NOUN	DT	NNS	det	dobj	True	science3
C	reactions	NOUN	NNS	dobj	modeling	VERB	VBG	pcomp	False	True	True		xx	biological	under	False	False	ADJ	ADP	JJ	IN	amod	prep	True	science3
B	under	ADP	IN	prep	reactions	NOUN	NNS	dobj	False	False	True		xx	reactions	dual	False	False	NOUN	ADJ	NNS	JJ	dobj	amod	True	science3
M	dual	ADJ	JJ	amod	mixing	NOUN	NN	pobj	False	False	False		xx	under	transverse	False	False	ADP	ADJ	IN	JJ	prep	amod	True	science3
M	transverse	ADJ	JJ	amod	mixing	NOUN	NN	pobj	False	False	False		xx	dual	mixing	False	False	ADJ	NOUN	JJ	NN	amod	pobj	True	science3
